Sentence ID,Source,Target,System,Dataset,Total Edits,Substitution_count,Insertion_count,Split_count,Structure_count,Deletion_count,Reorder_count,FKGL_Source,FKGL_Target,FKGL_Difference,ARI_Source,ARI_Target,ARI_Difference,Lexical_Diversity_Source,Lexical_Diversity_Target,Lexical_Diversity_Difference,Syntactic_Complexity_Source,Syntactic_Complexity_Target,Syntactic_Complexity_Difference,BERTScore_Precision,BERTScore_Recall,BERTScore_F1,GLEU,LENS_SALSA,No_edit_count,Sentence_has_specialized_terms,Sentence_contains_named_entity,Deletion (Bad),Insertion (Bad),Reorder (Bad),Split (Bad),Structure (Bad),Substitution (Bad),Deletion (Good),Insertion (Good),Reorder (Good),Split (Good),Structure (Good),Substitution (Good),Deletion (Neutral),Insertion (Neutral),Reorder (Neutral),Split (Neutral),Structure (Neutral),Substitution (Neutral)
ChatGPT_001,"The N1 road also designated as RN1, is a road in Central African Republic that spans a total distance of 498 kilometers.","The N1 road, also called RN1, is a road in the Central African Republic. || It is 498 kilometers long.",ChatGPT,wikiEN,4,1,1,1,1.0,0,0,9.995000000000001,1.5570000000000022,-8.437999999999999,10.8,3.9,-6.9,0.9090909090909091,0.95,0.040909090909090895,2,1,-1,0.965502142906189,0.956754207611084,0.9611082673072815,0.3723404255319149,68.7903106212616,0.0,False,True,1,0,0,0,0,2,4,1,1,2,1,7,1,0,1,0,1,0
ChatGPT_002,"Originating in the capital city of Bangui, the road extends northwest, ultimately terminating at the international border with Chad, near the town of Békoro.",The road starts in Bangui and goes northwest to the border with Chad near Békoro.,ChatGPT,wikiEN,7,1,0,0,1.0,4,1,14.294285714285717,3.9250000000000007,-10.369285714285716,16.9,7.1,-9.799999999999999,0.8333333333333334,1.0,0.16666666666666663,3,2,-1,0.9632126092910767,0.9287607073783875,0.9456729888916016,0.14150943396226415,73.98967146873474,0.0,False,True,2,0,0,0,0,1,1,2,2,1,2,4,2,0,1,0,0,2
ChatGPT_003,"As a key component of the country's road network, the N1 facilitates connectivity between the capital and the northeastern regions, playing a role in the nation's economic and social development.",The N1 is an important part of the country's road network. || It connects the capital to the northeastern regions and helps with economic and social development.,ChatGPT,wikiEN,5,2,0,1,1.0,1,0,16.94666666666667,6.780000000000001,-10.166666666666668,19.6,9.5,-10.100000000000001,0.8,0.8888888888888888,0.0888888888888888,2,2,0,0.9560889601707458,0.9547459483146667,0.9554169774055481,0.30952380952380953,76.86718702316284,0.0,False,True,0,0,0,0,0,1,1,1,0,2,2,11,3,0,1,1,0,2
ChatGPT_004,"The N1 route commences in the heart of Bangui, the capital city of the Central African Republic, near the Ubangi River, which forms the border with the Democratic Republic of Congo.","The N1 route starts in the center of Bangui, the capital of the Central African Republic, near the Ubangi River, which is the border with the Democratic Republic of Congo.",ChatGPT,wikiEN,4,3,0,0,0.0,1,0,14.91714285714286,13.981764705882352,-0.9353781512605082,17.0,15.8,-1.1999999999999993,0.7741935483870968,0.7666666666666667,-0.007526881720430034,1,1,0,0.987401008605957,0.983464241027832,0.9854286909103394,0.7089552238805971,60.89548468589783,0.0,False,True,0,0,0,0,0,0,2,2,0,0,3,7,2,0,0,0,1,2
ChatGPT_005,"The terrain along this stretch is characterized by flat to gently sloping land, punctuated by shallow riverbeds with larger trees and sparse shrub and low forestation elsewhere.","The land here is mostly flat or gently sloping, with shallow riverbeds, large trees, and few shrubs and small forests.",ChatGPT,wikiEN,10,5,1,0,2.0,2,0,14.437241379310347,7.044999999999998,-7.392241379310349,18.4,11.9,-6.499999999999998,0.9259259259259259,0.95,0.024074074074074026,3,0,-3,0.9362637996673584,0.9178139567375183,0.9269470572471619,0.14545454545454545,76.67092680931091,0.0,False,False,0,0,0,0,0,2,4,2,0,0,3,12,0,0,1,0,0,1
ChatGPT_006,"She married Marcus Claudius Marcellus Aeserninus, consul in 22 BCE, and had at least one son, Marcus Claudius Marcellus Aeserninus the younger, who was renowned as a promising rhetorician, having been instructed in rhetoric by his grandfather Asinius.","She married Marcus Claudius Marcellus Aeserninus, who was a consul in 22 BCE. || They had at least one son, also named Marcus Claudius Marcellus Aeserninus. || Their son was famous for being good at rhetoric and learned it from his grandfather Asinius.",ChatGPT,wikiEN,10,2,3,2,2.0,1,0,20.87909090909091,6.722000000000001,-14.157090909090908,24.1,9.5,-14.600000000000001,0.8947368421052632,0.8604651162790697,-0.03427172582619342,4,3,-1,0.9463890790939331,0.9506220817565918,0.9485008716583252,0.4020618556701031,75.14869570732117,0.0,True,True,2,0,0,0,0,1,3,4,0,3,2,4,2,1,0,0,1,1
ChatGPT_007,"Asinia was a noblewoman of ancient Roman who was the daughter of Gaius Asinius Pollio, who was Roman consul 40 BCE.","Asinia was a noblewoman in ancient Rome. || She was the daughter of Gaius Asinius Pollio, a Roman consul in 40 BCE.",ChatGPT,wikiEN,4,1,1,1,1.0,0,0,12.362608695652174,5.364615384615387,-6.997993311036787,10.4,4.9,-5.5,0.7619047619047619,0.8636363636363636,0.10173160173160178,0,0,0,0.9686108827590942,0.9750165939331055,0.9718031883239746,0.46938775510204084,61.54602766036987,0.0,False,True,1,0,0,0,0,0,2,1,0,2,4,6,3,0,1,0,2,2
ChatGPT_008,"Influenced by his father Jinghui, whom was also a linguist, Saišangga was proficient in Manchu, Mongolian and Chinese.","Saišangga learned Manchu, Mongolian, and Chinese because his father Jinghui, who was also a linguist, influenced him.",ChatGPT,wikiEN,3,2,0,0,1.0,0,0,10.153636363636362,9.61727272727273,-0.5363636363636317,14.0,15.0,1.0,0.9444444444444444,1.0,0.05555555555555558,1,2,1,0.9521830677986145,0.940288782119751,0.9461985230445862,0.4268292682926829,80.42754530906677,0.0,False,True,1,0,0,0,0,2,0,0,0,0,4,5,0,0,0,0,1,0
ChatGPT_009,"In 1853, Saišangga was stripped of official position, imprisoned and waited for execution","In 1853, Saišangga lost his job, was put in jail, and awaited execution.",ChatGPT,wikiEN,3,2,0,0,1.0,0,0,10.713333333333338,4.228235294117649,-6.485098039215689,13.0,6.8,-6.2,1.0,1.0,0.0,3,2,-1,0.956341028213501,0.9534540176391602,0.9548953771591187,0.22580645161290322,76.13455653190613,0.0,False,True,1,0,0,0,0,3,3,3,1,2,2,4,1,0,1,0,0,2
ChatGPT_010,"2-Chloronicotinic acid (2-CNA) is a halogenated derivative of nicotinic acid that is used as an intermediate in the production of a variety of bioactive chemicals,[4] including boscalid[5] and diflufenican.",2-Chloronicotinic acid (2-CNA) is a changed form of nicotinic acid with added halogen. || It is used to make many bioactive chemicals like boscalid and diflufenican.,ChatGPT,wikiEN,4,3,0,1,0.0,0,0,20.114883720930234,8.766428571428573,-11.34845514950166,22.0,11.2,-10.8,0.8275862068965517,0.9230769230769231,0.09549071618037142,1,2,1,0.9535999298095703,0.9308924078941345,0.9421093463897705,0.3433734939759036,72.16917872428894,0.0,True,True,0,1,0,0,0,2,2,3,1,1,1,9,1,0,4,1,0,0
